Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric,104.75,-112.5,90.0,top
C10,10u,C_0805_2012Metric,113.75,-112.5,-90.0,top
C11,2.2uf,C_0402_1005Metric,130.5,-101.5,180.0,top
C12,2.2uf,C_0402_1005Metric,136.5,-138.5,0.0,top
C13,10nF,C_0402_1005Metric,138.0,-109.5,90.0,top
C14,10nF,C_0402_1005Metric,141.25,-132.0,0.0,top
C15,1nF,C_0402_1005Metric,144.0,-131.75,-90.0,top
C16,1nF,C_0402_1005Metric,137.0,-108.0,180.0,top
C17,47nF,C_0402_1005Metric,122.65,-108.0,-90.0,top
C18,47nF,C_0402_1005Metric,126.3,-131.5,-90.0,top
C19,100n,C_0402_1005Metric,158.0,-135.5,180.0,top
C2,100n,C_0402_1005Metric,118.25,-120.0,-90.0,top
C20,100n,C_0402_1005Metric,158.0,-104.5,0.0,top
C21,10u,C_0805_2012Metric,116.0,-112.5,90.0,top
C22,10u,C_0805_2012Metric,120.5,-117.0,0.0,top
C3,22uF,C_0805_2012Metric,133.5,-101.5,180.0,top
C4,10u,C_0805_2012Metric,107.0,-112.5,-90.0,top
C5,10u,C_0805_2012Metric,109.25,-112.5,-90.0,top
C6,22uF,C_0805_2012Metric,133.5,-138.5,0.0,top
C7,10u,C_0805_2012Metric,111.5,-112.5,-90.0,top
C8,22nF,C_0402_1005Metric,128.3,-108.0,-90.0,top
C9,22nF,C_0402_1005Metric,139.25,-132.0,0.0,top
D4,1N5819WS,D_SOD-323,151.75,-122.95,-90.0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,105.96,-120.0,-90.0,top
J9,Conn_01x02_Socket,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,156.45,-116.025,-90.0,top
LED1,WS2812B,LED-SMD_4P-L1.0-W1.0-TL_XL-1010RGBC-WS2812B,101.5,-138.25,-90.0,top
LED10,WS2812B,1010ws2812,157.9751,-137.0751,0.0,top
